target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-3-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2
C60959,1,,,,O=Cc1ccc2c(c1)CNC2,c1coc(CNCc2ccco2)c1,c1coc(CN(Cc2ccc3c(c2)CNC3)Cc2ccco2)c1,Reductive_amination,,,,,,,,,
C60764,1,,,,CC(C)(N)CO,O=C(O)C1NCC2CC21,CC(C)(CO)NC(=O)C1NCC2CC21,Amidation,,,,,,,,,
C111861,1,,,,CC1(C)OB(C2CCCNC2)OC1(C)C,Brc1cccc2c1CCS2,c1cc2c(c(C3CCCNC3)c1)CCS2,Sp3-sp2_Suzuki_coupling,,,,,,,,,
C7519,1,,,,OCc1cncs1,O=C(O)COc1ncnc2ccccc12,O=C(COc1ncnc2ccccc12)OCc1cncs1,Steglich_esterification,,,,,,,,,
C2694,1,,,,Nc1ccnn1C1CCCC1,NNC(=O)c1cccc2cccnc12,O=C(NNC(=O)c1cccc2cccnc12)Nc1ccnn1C1CCCC1,Formation_of_urea_from_two_amines,,,,,,,,,
C116294,1,,,,Nc1ccccc1Cn1ccnc1,CC(O)C(=O)O,CC(O)C(=O)Nc1ccccc1Cn1ccnc1,Amidation,,,,,,,,,
C13057,1,,,,O=C(O)c1ccc2nc(C(F)(F)F)cn2c1,CNc1ccccn1,CN(C(=O)c1ccc2nc(C(F)(F)F)cn2c1)c1ccccn1,Amidation,,,,,,,,,
C4344,1,,,,O=C(O)c1ccn2ccnc2c1,CCOC(=O)c1csc(N)n1,CCOC(=O)c1csc(NC(=O)c2ccn3ccnc3c2)n1,Amidation,,,,,,,,,
C4263,1,,,,O=C(O)c1cnc(-c2cccnc2)s1,NC1CCc2ncsc2C1,O=C(NC1CCc2ncsc2C1)c1cnc(-c2cccnc2)s1,Amidation,,,,,,,,,
C2006,1,,,,Oc1ccc2c(c1)CNC2,OC1CCCNC1,c1cc2c(cc1OC1CCCNC1)CNC2,Mitsunobu_aryl_ether_synthesis,,,,,,,,,
C3418,1,,,,O=C(O)CCc1ccncn1,Cc1cc(N)cn2ccnc12,Cc1cc(NC(=O)CCc2ccncn2)cn2ccnc12,Amidation,,,,,,,,,
C2008,1,,,,Oc1ccc2c(c1)CNC2,CC(C)(C)OC(=O)C1CCCNC1,O=C(C1CCCNC1)N1Cc2ccc(O)cc2C1,Ester_amidation,,,,,,,,,
C13324,1,,,,O=C(O)c1cccnc1,Nc1nc2c(Cl)cccc2s1,O=C(Nc1nc2c(Cl)cccc2s1)c1cccnc1,Amidation,,,,,,,,,
C17917,1,,,,O=S(=O)(Cl)c1ccc2ncsc2c1,CCN1CCC(NC)CC1,CCN1CCC(N(C)S(=O)(=O)c2ccc3ncsc3c2)CC1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,,,,,,,,
C116770,1,,,,Cn1cc(N)cn1,O=C(O)CCc1cnc2ccccc2c1,Cn1cc(NC(=O)CCc2cnc3ccccc3c2)cn1,Amidation,,,,,,,,,
C59808,1,,,,c1cncc(C2CCCCN2)c1,,[O-][n+]1cccc(C2CCCCN2)c1,N-oxide_formation,,,,,,,,,
C171,1,,,,NCc1cccc(N)c1,O=C1Cc2c(cccc2C(=O)O)N1,NCc1cccc(NC(=O)c2cccc3c2CC(=O)N3)c1,Amidation,,,,,,,,,
C63027,1,,,,OB(O)c1ccncc1,COCC(N)COC,COCC(COC)Nc1ccncc1,Chan-Lam_coupling_(amination),,,,,,,,,
C2037,1,,,,c1ccc2c(c1)CNC2,CC(C)(C)OC(=O)C1CCCNC1,O=C(C1CCCNC1)N1Cc2ccccc2C1,Ester_amidation,,,,,,,,,
C15459,1,,,,CN(C)CCn1c(=O)[nH]c2ccc(C(=O)O)cc21,NCc1ncc[nH]1,CN(C)CCn1c(=O)[nH]c2ccc(C(=O)NCc3ncc[nH]3)cc21,Amidation,,,,,,,,,
C120734,1,,,,NC1CCCNC1=O,CCC(CC)C(=O)O,CCC(CC)C(=O)NC1CCCNC1=O,Amidation,,,,,,,,,
C55564,1,,,,CC(C)N,O=C1CC(n2ccnc2)C1,CC(C)NC1CC(n2ccnc2)C1,Reductive_amination,,,,,,,,,
C3469,1,,,,Nc1ccc2[nH]c(=O)[nH]c2c1,CC(C)Cc1ccc(C=O)cn1,CC(C)Cc1ccc(CNc2ccc3[nH]c(=O)[nH]c3c2)cn1,Reductive_amination,,,,,,,,,
C13880,1,,,,Brc1ncc[nH]1,COc1nc2ccccc2cc1CCl,COc1nc2ccccc2cc1CS(=O)(=O)c1ncc[nH]1,Formation_of_sulfone_from_halide_-_Shavnya_reaction,,,,,,,,,
C113212,1,,,,O=C(O)c1cnc[nH]1,CC(C)NCCO,CC(C)N(CCO)C(=O)c1c[nH]cn1,Amidation,,,,,,,,,
C66556,1,,,,CC(CN)n1cccn1,OCCNc1nc(Cl)nc2ccccc12,CC(CNc1nc(NCCO)c2ccccc2n1)n1cccn1,N-nucleophilic_aromatic_substitution,,,,,,,,,
C66691,1,,,,CC(O)C(N)=O,OC1CNCC2(CC2)C1,CC(OC1CNCC2(CC2)C1)C(N)=O,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,,,,,,,,
C2295,1,,,,CC(=O)NCC1CCCNC1,O=C1NCC(C(=O)O)n2nccc21,CC(=O)NCC1CCCN(C(=O)C2CNC(=O)c3ccnn32)C1,Amidation,,,,,,,,,
C6774,1,,,,CC(CN)n1cccn1,O=C(O)c1cnc(C2CCCN2)nc1,CC(CNC(=O)c1cnc(C2CCCN2)nc1)n1cccn1,Amidation,,,,,,,,,
C69166,1,,,,c1cnc(N2CCNCC2)nc1,O=C(O)Cc1csc2nccn12,O=C(Cc1csc2nccn12)N1CCN(c2ncccn2)CC1,Amidation,,,,,,,,,
C15239,1,,,,NC1CCCNC1,COc1nc2ccccc2cc1C=O,COc1nc2ccccc2cc1CNC1CCCNC1,Reductive_amination,,,,,,,,,
C61042,1,,,,Nc1nc2ccccc2n1-c1ccccc1,O=C(O)c1ccn[nH]1,O=C(Nc1nc2ccccc2n1-c1ccccc1)c1cc[nH]n1,Amidation,,,,,,,,,
C51214,1,,,,OCc1ccc2cccnc2c1,NC1(c2ccccn2)CCC1,c1ccc(C2(NCc3ccc4cccnc4c3)CCC2)nc1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,,,,,,,,
C55811,1,,,,Nc1cccc2ncccc12,CCSc1cccnc1C(=O)O,CCSc1cccnc1C(=O)Nc1cccc2ncccc12,Amidation,,,,,,,,,
C52423,1,,,,NCCc1nc2ccccc2s1,Cc1cn2ccc(Br)cc2n1,Cc1cn2ccc(NCCc3nc4ccccc4s3)cc2n1,N-nucleophilic_aromatic_substitution,,,,,,,,,
C65268,1,,,,CCC(C)N,Brc1ccc2ccccc2n1,CCC(C)Nc1ccc2ccccc2n1,N-nucleophilic_aromatic_substitution,,,,,,,,,
C76716,1,,,,Cc1cccc(Br)c1,C=CB1OC(C)(C)C(C)(C)O1,C=Cc1cccc(C)c1,Sp2-sp2_Suzuki_coupling,,,,,,,,,
C10692,1,,,,Nc1ccc2[nH]ccc2c1,C1CCN(C2CCNCC2)C1,O=C(Nc1ccc2[nH]ccc2c1)N1CCC(N2CCCC2)CC1,Formation_of_urea_from_two_amines,,,,,,,,,
C50969,1,,,,O=C(O)c1cnn2c1CNCC2,CNCCCN1CCN(C)CC1,CN1CCN(CCCN(C)C(=O)c2cnn3c2CNCC3)CC1,Amidation,,,,,,,,,
C12944,1,,,,NCc1ccc2c(c1)CNC2,Cc1nnnn1CC(=O)O,Cc1nnnn1CC(=O)NCc1ccc2c(c1)CNC2,Amidation,,,,,,,,,
C5622,1,,,,Oc1ccc2c(c1)CNC2,CN1CCCCC1CO,CN1CCCCC1COc1ccc2c(c1)CNC2,Mitsunobu_aryl_ether_synthesis,,,,,,,,,
C13195,1,,,,CSCCCC(=O)O,CN1CCNCC1c1ncc[nH]1,CSCCCC(=O)N1CCN(C)C(c2ncc[nH]2)C1,Amidation,,,,,,,,,
C59610,1,,,,Clc1ccc2c(c1)CNC2,O=C(O)c1nccn2nccc12,O=C(c1nccn2nccc12)N1Cc2ccc(Cl)cc2C1,Amidation,,,,,,,,,
C8888,1,,,,NC1CCNCC1,Cc1ncsc1CCCl,Cc1ncsc1CCS(=O)(=O)NC1CCNCC1,Formation_of_sulfonamide_from_halide_-_Shavnya_reaction,,,,,,,,,
C55394,1,,,,NCc1nnc2ccccn12,CC(C)(C)OC(=O)Cn1cc(CCO)nn1,O=C(Cn1cc(CCO)nn1)NCc1nnc2ccccn12,Ester_amidation,,,,,,,,,
